City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,12.12,97,100,2.24,NZ,1692049817
1,nepalgunj,28.05,81.6167,24.59,82,100,1.64,NP,1692049818
2,palmer,42.1584,-72.3287,28.06,62,75,3.09,US,1692049818
3,adamstown,-25.066,-130.1015,21.06,84,99,10.62,PN,1692049818
4,nemuro,43.3236,145.575,15.36,93,100,6.56,JP,1692049818
5,bethel,41.3712,-73.414,28.06,69,0,1.54,US,1692049819
6,tago,9.0211,126.2317,25.08,89,100,1.44,PH,1692049819
7,howrah,22.5892,88.3103,29.0,89,75,0.0,IN,1692049819
8,vilyuchinsk,52.9306,158.4028,15.15,74,1,2.87,RU,1692049819
9,salahonda,2.1019,-78.7217,26.87,81,68,5.97,CO,1692049820
10,swakopmund,-22.6833,14.5333,12.21,83,97,0.45,NA,1692049820
11,altai,46.3722,96.2583,13.79,38,1,2.17,MN,1692049820
12,sechura,-5.5569,-80.8222,25.8,64,91,7.18,PE,1692049820
13,yuzhno-kurilsk,44.0306,145.8556,14.57,90,98,5.55,RU,1692049743
14,kosh-agach,50.0,88.6667,2.57,74,27,1.0,RU,1692049821
15,fort irwin,35.2627,-116.6848,37.9,14,0,4.12,US,1692049574
16,laranjal paulista,-23.0497,-47.8367,17.06,84,94,5.28,BR,1692049821
17,hadibu,12.65,54.0333,26.08,81,100,7.71,YE,1692049721
18,saint croix,17.7397,-64.7388,31.25,62,40,8.75,VI,1692049822
19,port-aux-francais,-49.35,70.2167,5.3,92,100,12.1,TF,1692049718
20,tolanaro,-25.0319,46.9987,22.04,88,75,7.2,MG,1692049822
21,longyearbyen,78.2186,15.6401,8.91,81,75,5.66,SJ,1692049748
22,college,64.8569,-147.8028,20.18,61,75,1.54,US,1692049739
23,tarsus,36.9188,34.8784,29.21,79,5,0.89,TR,1692049823
24,nejo,9.5,35.5,14.69,97,100,1.42,ET,1692049823
25,puerto natales,-51.7236,-72.4875,0.77,76,99,3.04,CL,1692049726
26,caleta de carquin,-11.0925,-77.6267,20.85,75,11,3.96,PE,1692049824
27,grytviken,-54.2811,-36.5092,-4.96,78,66,3.62,GS,1692049824
28,tripoli,32.8752,13.1875,26.36,61,0,7.0,LY,1692049558
29,margaret river,-33.95,115.0667,13.79,73,18,5.92,AU,1692049732
30,murzuq,25.9155,13.9184,30.15,21,0,4.5,LY,1692049791
31,saint-philippe,-21.3585,55.7679,20.77,83,40,7.1,RE,1692049825
32,geraldton,-28.7667,114.6,9.23,93,1,5.66,AU,1692049825
33,aripuana,-9.1667,-60.6333,28.16,40,100,0.89,BR,1692049825
34,bubaque,11.2833,-15.8333,27.01,83,100,4.88,GW,1692049825
35,ellwood city,40.8617,-80.2865,22.04,89,100,1.63,US,1692049826
36,susuman,62.7833,148.1667,20.21,50,99,2.05,RU,1692049764
37,argo,37.6333,22.7333,26.55,63,3,1.53,GR,1692049826
38,ribeira grande,38.5167,-28.7,24.87,90,14,1.34,PT,1692049723
39,wailua homesteads,22.0669,-159.378,29.44,71,20,5.66,US,1692049761
40,port-vila,-17.7338,168.3219,21.78,100,100,2.06,VU,1692049671
41,ivdel',60.6911,60.4206,19.76,69,72,0.66,RU,1692049827
42,albany,42.6001,-73.9662,27.66,64,97,0.45,US,1692049599
43,qaqortoq,60.7167,-46.0333,8.72,75,87,0.78,GL,1692049750
44,letlhakane,-21.4167,25.5833,18.27,25,1,1.17,BW,1692049827
45,olonkinbyen,70.9221,-8.7187,5.87,88,2,6.11,SJ,1692049731
46,hermanus,-34.4187,19.2345,6.0,80,5,2.99,ZA,1692049726
47,marsh harbour,26.5412,-77.0636,29.8,72,44,6.02,BS,1692049828
48,brokopondo,4.75,-55.1667,28.67,69,59,1.08,SR,1692049828
49,mili,6.0815,171.735,29.11,79,99,7.8,MH,1692049828
50,iqaluit,63.7506,-68.5145,10.85,76,20,1.54,CA,1692049727
51,san patricio,28.017,-97.5169,39.4,42,76,6.45,US,1692049776
52,edinburgh of the seven seas,-37.0676,-12.3116,12.77,71,98,4.48,SH,1692049722
53,tsiombe,-25.3,45.4833,20.8,80,62,1.91,MG,1692049834
54,gadzhiyevo,69.2551,33.3362,15.93,95,100,3.49,RU,1692049744
55,papatowai,-46.5619,169.4708,5.77,77,99,1.69,NZ,1692049776
56,kununurra,-15.7667,128.7333,15.99,94,64,2.06,AU,1692049835
57,kapuskasing,49.4169,-82.4331,23.05,46,40,3.6,CA,1692049835
58,aur,8.1499,171.1687,28.79,80,46,7.9,MH,1692049835
59,ola,59.5833,151.2833,16.19,92,99,2.68,RU,1692049783
60,bredasdorp,-34.5322,20.0403,7.5,88,6,1.09,ZA,1692049721
61,berdigestyakh,62.0989,126.6992,14.13,98,100,2.67,RU,1692049837
62,acapulco de juarez,16.8634,-99.8901,29.9,74,100,2.57,MX,1692049669
63,jwaneng,-24.6004,24.7303,14.48,29,27,1.42,BW,1692049837
64,pucon,-39.2822,-71.9543,10.8,97,100,0.27,CL,1692049548
65,port macquarie,-31.4333,152.9167,13.83,80,100,4.26,AU,1692049837
66,haiku-pauwela,20.9219,-156.3051,30.01,61,40,10.29,US,1692049792
67,valdivia,-39.8142,-73.2459,11.36,94,100,3.4,CL,1692049548
68,krasnokamensk,50.0979,118.0369,19.0,74,100,1.51,RU,1692049838
69,san pablo villa de mitla,16.9167,-96.4,23.13,53,100,3.18,MX,1692049838
70,valparaiso,-33.0393,-71.6273,15.82,100,100,4.38,CL,1692049766
71,badger,64.8,-147.5333,20.14,56,75,1.54,US,1692049722
72,tiksi,71.6872,128.8694,5.89,93,61,1.72,RU,1692049731
73,atafu village,-8.5421,-172.5159,28.66,76,89,8.8,TK,1692049730
74,taltal,-25.4,-70.4833,17.4,76,24,1.4,CL,1692049839
75,la passe,45.5549,-0.8967,20.13,87,90,2.33,FR,1692049839
76,west island,-12.1568,96.8225,24.99,78,75,6.17,CC,1692049723
77,stanley,54.868,-1.6985,14.29,94,75,4.63,GB,1692049742
78,sao jose da coroa grande,-8.8978,-35.1478,23.61,75,15,4.89,BR,1692049840
79,daru,-9.0763,143.2092,24.79,78,81,6.24,PG,1692049840
80,faulquemont,49.0471,6.6031,21.04,92,59,3.12,FR,1692049840
81,aweil,8.7682,27.4002,21.08,94,64,2.17,SS,1692049840
82,oranjemund,-28.55,16.4333,11.07,82,0,5.3,NA,1692049747
83,vorgashor,67.5833,63.95,10.04,94,82,2.4,RU,1692049793
84,jamestown,42.097,-79.2353,23.34,78,20,2.57,US,1692049553
